rate,0.5-1.0Å,1.0-1.5Å,1.5-2.0Å,2.0-2.5Å,2.5-3.0Å,3.0-3.5Å,3.5-4.0Å,4.0-4.5Å,4.5-5.0Å,5.0Å-
0-5%,0,25,663,281,651,1057,1112,947,591,6598
5-10%,0,0,16,56,191,369,250,135,34,67
10-15%,1,1,41,42,183,250,198,73,19,234
15-20%,0,0,14,64,142,226,177,76,16,62
20-40%,1,27,25,172,534,884,653,272,101,341
40-60%,0,0,51,207,570,1103,570,240,122,346
60-80%,0,3,19,258,611,949,539,251,90,246
80-100%,0,3,49,260,814,1226,719,258,104,241
0-5%,0.00%,42.37%,75.51%,20.97%,17.61%,17.43%,26.36%,42.05%,54.87%,81.11%
5-10%,0.00%,0.00%,1.82%,4.18%,5.17%,6.09%,5.93%,5.99%,3.16%,0.82%
10-15%,50.00%,1.69%,4.67%,3.13%,4.95%,4.12%,4.69%,3.24%,1.76%,2.88%
15-20%,0.00%,0.00%,1.59%,4.78%,3.84%,3.73%,4.20%,3.37%,1.49%,0.76%
20-40%,50.00%,45.76%,2.85%,12.84%,14.45%,14.58%,15.48%,12.08%,9.38%,4.19%
40-60%,0.00%,0.00%,5.81%,15.45%,15.42%,18.19%,13.51%,10.66%,11.33%,4.25%
60-80%,0.00%,5.08%,2.16%,19.25%,16.53%,15.65%,12.78%,11.15%,8.36%,3.02%
80-100%,0.00%,5.08%,5.58%,19.40%,22.02%,20.22%,17.05%,11.46%,9.66%,2.96%
sum,2,59,878,1340,3696,6064,4218,2252,1077,8135
