rate,0.5-1.0Å,1.0-1.5Å,1.5-2.0Å,2.0-2.5Å,2.5-3.0Å,3.0-3.5Å,3.5-4.0Å,4.0-4.5Å,4.5-5.0Å,5.0Å-
0-5%,54,4428,34243,57288,66802,55392,25435,8436,3012,11835
5-10%,472,12178,48760,49448,40329,25760,12950,4084,1294,4562
10-15%,447,9449,32884,31151,22123,14097,6787,2758,934,3011
15-20%,69,1803,6829,8899,8015,6964,3533,1384,624,1728
20-40%,3,112,1192,2569,3501,4531,2913,1611,572,2460
40-60%,0,0,0,11,44,205,109,14,23,234
60-80%,0,1,2,0,0,8,4,1,0,2
80-100%,0,0,0,0,0,0,0,0,0,0
0-5%,5.17%,15.83%,27.64%,38.35%,47.44%,51.79%,49.17%,46.13%,46.63%,49.66%
5-10%,45.17%,43.54%,39.35%,33.11%,28.64%,24.08%,25.03%,22.33%,20.03%,19.14%
10-15%,42.78%,33.78%,26.54%,20.86%,15.71%,13.18%,13.12%,15.08%,14.46%,12.63%
15-20%,6.60%,6.45%,5.51%,5.96%,5.69%,6.51%,6.83%,7.57%,9.66%,7.25%
20-40%,0.29%,0.40%,0.96%,1.72%,2.49%,4.24%,5.63%,8.81%,8.86%,10.32%
40-60%,0.00%,0.00%,0.00%,0.01%,0.03%,0.19%,0.21%,0.08%,0.36%,0.98%
60-80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.01%,0.00%,0.01%
80-100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
sum,1045,27971,123910,149366,140814,106957,51731,18288,6459,23832
