rate,0.5-1.0Å,1.0-1.5Å,1.5-2.0Å,2.0-2.5Å,2.5-3.0Å,3.0-3.5Å,3.5-4.0Å,4.0-4.5Å,4.5-5.0Å,5.0Å-
0-5%,0,1,585,5294,20029,29187,16409,6402,2459,10279
5-10%,0,174,1011,2637,7220,12114,7986,3215,1051,3904
10-15%,2,6,122,826,2510,5641,4383,2355,806,2700
15-20%,0,1,51,370,944,2369,2278,1207,568,1622
20-40%,0,0,11,138,594,1257,1928,1310,524,2383
40-60%,0,0,0,0,3,9,38,10,23,234
60-80%,0,0,0,0,0,1,0,1,0,2
80-100%,0,0,0,0,0,0,0,0,0,0
0-5%,0.00%,0.55%,32.87%,57.14%,63.99%,57.71%,49.69%,44.15%,45.28%,48.66%
5-10%,0.00%,95.60%,56.80%,28.46%,23.07%,23.95%,24.18%,22.17%,19.35%,18.48%
10-15%,100.00%,3.30%,6.85%,8.92%,8.02%,11.15%,13.27%,16.24%,14.84%,12.78%
15-20%,0.00%,0.55%,2.87%,3.99%,3.02%,4.68%,6.90%,8.32%,10.46%,7.68%
20-40%,0.00%,0.00%,0.62%,1.49%,1.90%,2.49%,5.84%,9.03%,9.65%,11.28%
40-60%,0.00%,0.00%,0.00%,0.00%,0.01%,0.02%,0.12%,0.07%,0.42%,1.11%
60-80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.01%
80-100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
sum,2,182,1780,9265,31300,50578,33022,14500,5431,21124
