rate,0.5-1.0Å,1.0-1.5Å,1.5-2.0Å,2.0-2.5Å,2.5-3.0Å,3.0-3.5Å,3.5-4.0Å,4.0-4.5Å,4.5-5.0Å,5.0Å-
0-5%,0,0,11,302,1551,2538,1764,729,248,886
5-10%,0,24,50,210,810,1533,1076,328,149,305
10-15%,0,0,7,56,251,620,601,306,134,175
15-20%,0,0,4,25,107,231,254,152,65,82
20-40%,0,0,0,7,85,186,267,195,59,145
40-60%,0,0,0,0,0,1,6,0,11,5
60-80%,0,0,0,0,0,0,0,0,0,0
80-100%,0,0,0,0,0,0,0,0,0,0
0-5%,0,0.00%,15.28%,50.33%,55.31%,49.68%,44.46%,42.63%,37.24%,55.44%
5-10%,0,100.00%,69.44%,35.00%,28.89%,30.01%,27.12%,19.18%,22.37%,19.09%
10-15%,0,0.00%,9.72%,9.33%,8.95%,12.14%,15.15%,17.89%,20.12%,10.95%
15-20%,0,0.00%,5.56%,4.17%,3.82%,4.52%,6.40%,8.89%,9.76%,5.13%
20-40%,0,0.00%,0.00%,1.17%,3.03%,3.64%,6.73%,11.40%,8.86%,9.07%
40-60%,0,0.00%,0.00%,0.00%,0.00%,0.02%,0.15%,0.00%,1.65%,0.31%
60-80%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
80-100%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
sum,0,24,72,600,2804,5109,3968,1710,666,1598
