rate,0.5-1.0Å,1.0-1.5Å,1.5-2.0Å,2.0-2.5Å,2.5-3.0Å,3.0-3.5Å,3.5-4.0Å,4.0-4.5Å,4.5-5.0Å,5.0Å-
0-5%,0,0,83,986,4016,6853,4413,2051,606,1101
5-10%,0,24,370,488,1800,3567,2599,915,301,507
10-15%,0,0,21,101,635,2095,1566,764,207,379
15-20%,0,0,2,22,201,804,882,416,251,215
20-40%,0,0,0,1,145,366,737,503,150,307
40-60%,0,0,0,0,0,1,6,2,10,10
60-80%,0,0,0,0,0,0,0,0,0,0
80-100%,0,0,0,0,0,0,0,0,0,0
0-5%,0,0.00%,17.44%,61.70%,59.08%,50.07%,43.25%,44.10%,39.74%,43.71%
5-10%,0,100.00%,77.73%,30.54%,26.48%,26.06%,25.47%,19.67%,19.74%,20.13%
10-15%,0,0.00%,4.41%,6.32%,9.34%,15.31%,15.35%,16.43%,13.57%,15.05%
15-20%,0,0.00%,0.42%,1.38%,2.96%,5.87%,8.64%,8.94%,16.46%,8.54%
20-40%,0,0.00%,0.00%,0.06%,2.13%,2.67%,7.22%,10.81%,9.84%,12.19%
40-60%,0,0.00%,0.00%,0.00%,0.00%,0.01%,0.06%,0.04%,0.66%,0.40%
60-80%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
80-100%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
sum,0,24,476,1598,6797,13686,10203,4651,1525,2519
