rate,0.5-1.0Å,1.0-1.5Å,1.5-2.0Å,2.0-2.5Å,2.5-3.0Å,3.0-3.5Å,3.5-4.0Å,4.0-4.5Å,4.5-5.0Å,5.0Å-
0-5%,0,0,379,3607,14110,19945,10731,3980,1275,2890
5-10%,0,26,677,1593,4877,7850,5148,2022,612,1018
10-15%,0,6,27,304,1508,3621,2658,1433,432,691
15-20%,0,0,2,109,408,1208,1365,705,374,420
20-40%,0,0,2,29,225,487,948,806,284,600
40-60%,0,0,0,0,0,1,7,3,3,23
60-80%,0,0,0,0,0,0,0,0,0,1
80-100%,0,0,0,0,0,0,0,0,0,0
0-5%,0,0.00%,34.87%,63.93%,66.78%,60.23%,51.45%,44.47%,42.79%,51.21%
5-10%,0,81.25%,62.28%,28.23%,23.08%,23.71%,24.68%,22.59%,20.54%,18.04%
10-15%,0,18.75%,2.48%,5.39%,7.14%,10.94%,12.74%,16.01%,14.50%,12.25%
15-20%,0,0.00%,0.18%,1.93%,1.93%,3.65%,6.54%,7.88%,12.55%,7.44%
20-40%,0,0.00%,0.18%,0.51%,1.06%,1.47%,4.55%,9.01%,9.53%,10.63%
40-60%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.03%,0.10%,0.41%
60-80%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%
80-100%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
sum,0,32,1087,5642,21128,33112,20857,8949,2980,5643
