rate,0.5-1.0Å,1.0-1.5Å,1.5-2.0Å,2.0-2.5Å,2.5-3.0Å,3.0-3.5Å,3.5-4.0Å,4.0-4.5Å,4.5-5.0Å,5.0Å-
0-5%,0,0,15,65,112,221,198,145,14,111
5-10%,0,2,40,60,205,506,403,157,36,89
10-15%,2,0,23,56,103,344,286,118,57,30
15-20%,0,1,4,29,69,157,120,53,12,9
20-40%,0,0,0,30,44,158,92,61,2,12
40-60%,0,0,0,0,0,4,0,0,1,2
60-80%,0,0,0,0,0,0,0,0,0,0
80-100%,0,0,0,0,0,0,0,0,0,0
0-5%,0.00%,0.00%,18.29%,27.08%,21.01%,15.90%,18.02%,27.15%,11.48%,43.87%
5-10%,0.00%,66.67%,48.78%,25.00%,38.46%,36.40%,36.67%,29.40%,29.51%,35.18%
10-15%,100.00%,0.00%,28.05%,23.33%,19.32%,24.75%,26.02%,22.10%,46.72%,11.86%
15-20%,0.00%,33.33%,4.88%,12.08%,12.95%,11.29%,10.92%,9.93%,9.84%,3.56%
20-40%,0.00%,0.00%,0.00%,12.50%,8.26%,11.37%,8.37%,11.42%,1.64%,4.74%
40-60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.29%,0.00%,0.00%,0.82%,0.79%
60-80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
80-100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
sum,2,3,82,240,533,1390,1099,534,122,253
