rate,0.5-1.0Å,1.0-1.5Å,1.5-2.0Å,2.0-2.5Å,2.5-3.0Å,3.0-3.5Å,3.5-4.0Å,4.0-4.5Å,4.5-5.0Å,5.0Å-
0-5%,0,1,16,86,262,334,236,153,19,111
5-10%,0,26,108,118,253,547,427,154,53,128
10-15%,2,0,70,225,192,356,288,151,85,91
15-20%,0,1,38,132,141,142,120,64,19,68
20-40%,0,0,1,68,135,156,267,70,2,15
40-60%,0,0,0,0,0,4,0,0,1,2
60-80%,0,0,0,0,0,0,0,0,0,0
80-100%,0,0,0,0,0,0,0,0,0,0
0-5%,0.00%,3.57%,6.87%,13.67%,26.65%,21.70%,17.64%,25.84%,10.61%,26.75%
5-10%,0.00%,92.86%,46.35%,18.76%,25.74%,35.54%,31.91%,26.01%,29.61%,30.84%
10-15%,100.00%,0.00%,30.04%,35.77%,19.53%,23.13%,21.52%,25.51%,47.49%,21.93%
15-20%,0.00%,3.57%,16.31%,20.99%,14.34%,9.23%,8.97%,10.81%,10.61%,16.39%
20-40%,0.00%,0.00%,0.43%,10.81%,13.73%,10.14%,19.96%,11.82%,1.12%,3.61%
40-60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.26%,0.00%,0.00%,0.56%,0.48%
60-80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
80-100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
sum,2,28,233,629,983,1539,1338,592,179,415
