rate,0.5-1.0Å,1.0-1.5Å,1.5-2.0Å,2.0-2.5Å,2.5-3.0Å,3.0-3.5Å,3.5-4.0Å,4.0-4.5Å,4.5-5.0Å,5.0Å-
0-5%,0,1,21,54,4,0,0,0,0,0
5-10%,6,22,28,28,5,0,0,0,0,0
10-15%,1,11,32,10,0,0,0,0,0,0
15-20%,0,2,5,3,0,0,0,0,0,0
20-40%,0,0,0,1,0,0,0,0,0,0
40-60%,0,0,0,0,0,0,0,0,0,0
60-80%,0,0,0,0,0,0,0,0,0,0
80-100%,0,0,0,0,0,0,0,0,0,0
0-5%,0.00%,2.78%,24.42%,56.25%,44.44%,0,0,0,0,0
5-10%,85.71%,61.11%,32.56%,29.17%,55.56%,0,0,0,0,0
10-15%,14.29%,30.56%,37.21%,10.42%,0.00%,0,0,0,0,0
15-20%,0.00%,5.56%,5.81%,3.12%,0.00%,0,0,0,0,0
20-40%,0.00%,0.00%,0.00%,1.04%,0.00%,0,0,0,0,0
40-60%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0
60-80%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0
80-100%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0
sum,7,36,86,96,9,0,0,0,0,0
