rate,0.5-1.0Å,1.0-1.5Å,1.5-2.0Å,2.0-2.5Å,2.5-3.0Å,3.0-3.5Å,3.5-4.0Å,4.0-4.5Å,4.5-5.0Å,5.0Å-
0-5%,54,4426,33628,51933,46756,26203,9023,2034,553,1556
5-10%,466,11981,47712,46783,33103,13645,4962,868,243,658
10-15%,444,9432,32729,30313,19605,8455,2403,403,128,311
15-20%,69,1800,6772,8526,7066,4595,1255,176,56,106
20-40%,3,112,1181,2430,2904,3274,985,158,48,77
40-60%,0,0,0,11,41,196,71,4,0,0
60-80%,0,1,2,0,0,7,4,0,0,0
80-100%,0,0,0,0,0,0,0,0,0,0
0-5%,5.21%,15.95%,27.56%,37.10%,42.71%,46.48%,48.24%,55.83%,53.79%,57.46%
5-10%,44.98%,43.17%,39.10%,33.42%,30.24%,24.20%,26.53%,23.83%,23.64%,24.30%
10-15%,42.86%,33.99%,26.82%,21.65%,17.91%,15.00%,12.85%,11.06%,12.45%,11.48%
15-20%,6.66%,6.49%,5.55%,6.09%,6.45%,8.15%,6.71%,4.83%,5.45%,3.91%
20-40%,0.29%,0.40%,0.97%,1.74%,2.65%,5.81%,5.27%,4.34%,4.67%,2.84%
40-60%,0.00%,0.00%,0.00%,0.01%,0.04%,0.35%,0.38%,0.11%,0.00%,0.00%
60-80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.02%,0.00%,0.00%,0.00%
80-100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
sum,1036,27752,122024,139996,109475,56375,18703,3643,1028,2708
