rate,0.5-1.0Å,1.0-1.5Å,1.5-2.0Å,2.0-2.5Å,2.5-3.0Å,3.0-3.5Å,3.5-4.0Å,4.0-4.5Å,4.5-5.0Å,5.0Å-
0-5%,0,613,10656,17013,14598,6692,2124,476,115,476
5-10%,3,17,130,173,155,75,89,34,20,30
10-15%,0,12,67,96,83,34,111,24,0,18
15-20%,0,4,19,28,35,10,28,9,2,3
20-40%,0,0,4,23,28,27,22,1,2,0
40-60%,0,0,0,5,8,4,1,0,0,0
60-80%,0,1,1,0,0,0,0,0,0,0
80-100%,0,0,0,0,0,0,0,0,0,0
0-5%,0.00%,94.74%,97.97%,98.13%,97.93%,97.81%,89.43%,87.50%,82.73%,90.32%
5-10%,100.00%,2.63%,1.20%,1.00%,1.04%,1.10%,3.75%,6.25%,14.39%,5.69%
10-15%,0.00%,1.85%,0.62%,0.55%,0.56%,0.50%,4.67%,4.41%,0.00%,3.42%
15-20%,0.00%,0.62%,0.17%,0.16%,0.23%,0.15%,1.18%,1.65%,1.44%,0.57%
20-40%,0.00%,0.00%,0.04%,0.13%,0.19%,0.39%,0.93%,0.18%,1.44%,0.00%
40-60%,0.00%,0.00%,0.00%,0.03%,0.05%,0.06%,0.04%,0.00%,0.00%,0.00%
60-80%,0.00%,0.15%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
80-100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
sum,3,647,10877,17338,14907,6842,2375,544,139,527
