rate,0.5-1.0Å,1.0-1.5Å,1.5-2.0Å,2.0-2.5Å,2.5-3.0Å,3.0-3.5Å,3.5-4.0Å,4.0-4.5Å,4.5-5.0Å,5.0Å-
0-5%,18,1211,6645,14005,15416,11669,4743,1023,304,797
5-10%,247,6246,24715,25283,16846,8850,4005,618,133,441
10-15%,205,3548,11727,10072,8124,5145,1633,272,73,164
15-20%,21,319,1019,1248,2302,2929,785,89,23,79
20-40%,0,9,195,141,862,2120,617,71,18,63
40-60%,0,0,0,0,6,155,47,0,0,0
60-80%,0,0,0,0,0,6,4,0,0,0
80-100%,0,0,0,0,0,0,0,0,0,0
0-5%,3.67%,10.69%,15.00%,27.60%,35.39%,37.80%,40.08%,49.35%,55.17%,51.62%
5-10%,50.31%,55.11%,55.79%,49.82%,38.68%,28.66%,33.84%,29.81%,24.14%,28.56%
10-15%,41.75%,31.31%,26.47%,19.85%,18.65%,16.66%,13.80%,13.12%,13.25%,10.62%
15-20%,4.28%,2.81%,2.30%,2.46%,5.29%,9.49%,6.63%,4.29%,4.17%,5.12%
20-40%,0.00%,0.08%,0.44%,0.28%,1.98%,6.87%,5.21%,3.42%,3.27%,4.08%
40-60%,0.00%,0.00%,0.00%,0.00%,0.01%,0.50%,0.40%,0.00%,0.00%,0.00%
60-80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.03%,0.00%,0.00%,0.00%
80-100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
sum,491,11333,44301,50749,43556,30874,11834,2073,551,1544
