rate,0.5-1.0Å,1.0-1.5Å,1.5-2.0Å,2.0-2.5Å,2.5-3.0Å,3.0-3.5Å,3.5-4.0Å,4.0-4.5Å,4.5-5.0Å,5.0Å-
0-5%,18,1242,6763,14328,15705,12132,4853,1057,304,805
5-10%,251,6388,25195,25776,17161,9120,4065,631,133,441
10-15%,209,3665,12021,10391,8311,5318,1671,273,73,164
15-20%,21,328,1054,1280,2347,3039,800,89,23,79
20-40%,0,9,195,143,871,2157,619,71,18,63
40-60%,0,0,0,0,6,155,47,0,0,0
60-80%,0,0,0,0,0,6,4,0,0,0
80-100%,0,0,0,0,0,0,0,0,0,0
0-5%,3.61%,10.68%,14.95%,27.60%,35.37%,38.00%,40.24%,49.83%,55.17%,51.87%
5-10%,50.30%,54.92%,55.71%,49.65%,38.65%,28.57%,33.71%,29.75%,24.14%,28.41%
10-15%,41.88%,31.51%,26.58%,20.01%,18.72%,16.66%,13.86%,12.87%,13.25%,10.57%
15-20%,4.21%,2.82%,2.33%,2.47%,5.29%,9.52%,6.63%,4.20%,4.17%,5.09%
20-40%,0.00%,0.08%,0.43%,0.28%,1.96%,6.76%,5.13%,3.35%,3.27%,4.06%
40-60%,0.00%,0.00%,0.00%,0.00%,0.01%,0.49%,0.39%,0.00%,0.00%,0.00%
60-80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.03%,0.00%,0.00%,0.00%
80-100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
sum,499,11632,45228,51918,44401,31927,12059,2121,551,1552
