rate,0.5-1.0Å,1.0-1.5Å,1.5-2.0Å,2.0-2.5Å,2.5-3.0Å,3.0-3.5Å,3.5-4.0Å,4.0-4.5Å,4.5-5.0Å,5.0Å-
0-5%,23,941,5473,5899,6423,2257,635,172,30,155
5-10%,116,4224,19967,18967,14548,4001,712,174,62,172
10-15%,125,4775,19337,18771,10606,2869,582,98,55,120
15-20%,31,1328,5462,6925,4478,1460,381,67,31,20
20-40%,0,92,876,2117,1909,1036,317,80,27,9
40-60%,0,0,0,3,19,33,22,4,0,0
60-80%,0,0,0,0,0,1,0,0,0,0
80-100%,0,0,0,0,0,0,0,0,0,0
0-5%,7.80%,8.28%,10.71%,11.20%,16.91%,19.36%,23.97%,28.91%,14.63%,32.56%
5-10%,39.32%,37.18%,39.06%,36.00%,38.30%,34.32%,26.88%,29.24%,30.24%,36.13%
10-15%,42.37%,42.03%,37.83%,35.63%,27.92%,24.61%,21.97%,16.47%,26.83%,25.21%
15-20%,10.51%,11.69%,10.69%,13.14%,11.79%,12.52%,14.38%,11.26%,15.12%,4.20%
20-40%,0.00%,0.81%,1.71%,4.02%,5.03%,8.89%,11.97%,13.45%,13.17%,1.89%
40-60%,0.00%,0.00%,0.00%,0.01%,0.05%,0.28%,0.83%,0.67%,0.00%,0.00%
60-80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%
80-100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
sum,295,11360,51115,52682,37983,11657,2649,595,205,476
