rate,0.5-1.0Å,1.0-1.5Å,1.5-2.0Å,2.0-2.5Å,2.5-3.0Å,3.0-3.5Å,3.5-4.0Å,4.0-4.5Å,4.5-5.0Å,5.0Å-
0-5%,9,108,253,237,35,2,2,0,0,0
5-10%,84,588,588,142,12,0,0,0,0,0
10-15%,98,507,196,22,2,4,0,0,0,0
15-20%,16,71,25,4,0,0,0,0,0,0
20-40%,3,4,4,8,2,0,0,0,0,0
40-60%,0,0,0,0,0,0,0,0,0,0
60-80%,0,0,1,0,0,0,0,0,0,0
80-100%,0,0,0,0,0,0,0,0,0,0
0-5%,4.29%,8.45%,23.71%,57.38%,68.63%,33.33%,100.00%,0,0,0
5-10%,40.00%,46.01%,55.11%,34.38%,23.53%,0.00%,0.00%,0,0,0
10-15%,46.67%,39.67%,18.37%,5.33%,3.92%,66.67%,0.00%,0,0,0
15-20%,7.62%,5.56%,2.34%,0.97%,0.00%,0.00%,0.00%,0,0,0
20-40%,1.43%,0.31%,0.37%,1.94%,3.92%,0.00%,0.00%,0,0,0
40-60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0
60-80%,0.00%,0.00%,0.09%,0.00%,0.00%,0.00%,0.00%,0,0,0
80-100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0
sum,210,1278,1067,413,51,6,2,0,0,0
