rate,0.5-1.0Å,1.0-1.5Å,1.5-2.0Å,2.0-2.5Å,2.5-3.0Å,3.0-3.5Å,3.5-4.0Å,4.0-4.5Å,4.5-5.0Å,5.0Å-
0-5%,5,88,175,148,26,2,0,0,0,0
5-10%,54,435,423,104,12,0,0,0,0,0
10-15%,84,399,135,15,2,4,0,0,0,0
15-20%,12,64,17,2,0,0,0,0,0,0
20-40%,2,2,3,7,2,0,0,0,0,0
40-60%,0,0,0,0,0,0,0,0,0,0
60-80%,0,0,1,0,0,0,0,0,0,0
80-100%,0,0,0,0,0,0,0,0,0,0
0-5%,3.18%,8.91%,23.21%,53.62%,61.90%,33.33%,0,0,0,0
5-10%,34.39%,44.03%,56.10%,37.68%,28.57%,0.00%,0,0,0,0
10-15%,53.50%,40.38%,17.90%,5.43%,4.76%,66.67%,0,0,0,0
15-20%,7.64%,6.48%,2.25%,0.72%,0.00%,0.00%,0,0,0,0
20-40%,1.27%,0.20%,0.40%,2.54%,4.76%,0.00%,0,0,0,0
40-60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0
60-80%,0.00%,0.00%,0.13%,0.00%,0.00%,0.00%,0,0,0,0
80-100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0
sum,157,988,754,276,42,6,0,0,0,0
