rate,0.5-1.0Å,1.0-1.5Å,1.5-2.0Å,2.0-2.5Å,2.5-3.0Å,3.0-3.5Å,3.5-4.0Å,4.0-4.5Å,4.5-5.0Å,5.0Å-
0-5%,0,147,2275,4416,2923,1100,159,42,17,14
5-10%,0,5,170,302,343,48,5,2,0,0
10-15%,0,5,65,162,88,34,1,1,0,1
15-20%,0,1,16,39,39,16,0,0,0,0
20-40%,0,1,8,40,30,15,1,0,1,0
40-60%,0,0,0,0,6,0,0,0,0,0
60-80%,0,0,0,0,0,0,0,0,0,0
80-100%,0,0,0,0,0,0,0,0,0,0
0-5%,0,92.45%,89.78%,89.05%,85.24%,90.68%,95.78%,93.33%,94.44%,93.33%
5-10%,0,3.14%,6.71%,6.09%,10.00%,3.96%,3.01%,4.44%,0.00%,0.00%
10-15%,0,3.14%,2.57%,3.27%,2.57%,2.80%,0.60%,2.22%,0.00%,6.67%
15-20%,0,0.63%,0.63%,0.79%,1.14%,1.32%,0.00%,0.00%,0.00%,0.00%
20-40%,0,0.63%,0.32%,0.81%,0.87%,1.24%,0.60%,0.00%,5.56%,0.00%
40-60%,0,0.00%,0.00%,0.00%,0.17%,0.00%,0.00%,0.00%,0.00%,0.00%
60-80%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
80-100%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
sum,0,159,2534,4959,3429,1213,166,45,18,15
