rate,0.5-1.0Å,1.0-1.5Å,1.5-2.0Å,2.0-2.5Å,2.5-3.0Å,3.0-3.5Å,3.5-4.0Å,4.0-4.5Å,4.5-5.0Å,5.0Å-
0-5%,0,1,341,2812,11332,17124,9996,3993,1398,5089
5-10%,0,27,619,1342,4219,7392,4951,1913,671,1888
10-15%,0,4,44,319,1419,3549,2797,1469,462,1246
15-20%,0,0,6,138,465,1434,1469,763,394,771
20-40%,0,0,1,29,335,669,1300,788,339,1120
40-60%,0,0,0,0,2,4,12,4,19,88
60-80%,0,0,0,0,0,1,0,1,0,1
80-100%,0,0,0,0,0,0,0,0,0,0
0-5%,0,3.12%,33.73%,60.60%,63.76%,56.75%,48.70%,44.71%,42.58%,49.88%
5-10%,0,84.38%,61.23%,28.92%,23.74%,24.50%,24.12%,21.42%,20.44%,18.50%
10-15%,0,12.50%,4.35%,6.88%,7.98%,11.76%,13.63%,16.45%,14.07%,12.21%
15-20%,0,0.00%,0.59%,2.97%,2.62%,4.75%,7.16%,8.54%,12.00%,7.56%
20-40%,0,0.00%,0.10%,0.62%,1.88%,2.22%,6.33%,8.82%,10.33%,10.98%
40-60%,0,0.00%,0.00%,0.00%,0.01%,0.01%,0.06%,0.04%,0.58%,0.86%
60-80%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.01%
80-100%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
sum,0,32,1011,4640,17772,30173,20525,8931,3283,10203
