rate,0.5-1.0Å,1.0-1.5Å,1.5-2.0Å,2.0-2.5Å,2.5-3.0Å,3.0-3.5Å,3.5-4.0Å,4.0-4.5Å,4.5-5.0Å,5.0Å-
0-5%,0,0,152,1635,5424,7548,4122,1610,671,3127
5-10%,0,99,236,878,1956,3026,1984,891,249,1206
10-15%,2,2,66,351,723,1402,1049,644,228,707
15-20%,0,1,34,176,321,630,563,302,123,531
20-40%,0,0,7,78,193,460,408,357,132,822
40-60%,0,0,0,0,1,5,5,4,2,103
60-80%,0,0,0,0,0,0,0,0,0,0
80-100%,0,0,0,0,0,0,0,0,0,0
0-5%,0.00%,0.00%,30.71%,52.44%,62.94%,57.75%,50.69%,42.28%,47.76%,48.14%
5-10%,0.00%,97.06%,47.68%,28.16%,22.70%,23.15%,24.40%,23.40%,17.72%,18.57%
10-15%,100.00%,1.96%,13.33%,11.26%,8.39%,10.73%,12.90%,16.91%,16.23%,10.88%
15-20%,0.00%,0.98%,6.87%,5.64%,3.72%,4.82%,6.92%,7.93%,8.75%,8.17%
20-40%,0.00%,0.00%,1.41%,2.50%,2.24%,3.52%,5.02%,9.38%,9.40%,12.65%
40-60%,0.00%,0.00%,0.00%,0.00%,0.01%,0.04%,0.06%,0.11%,0.14%,1.59%
60-80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
80-100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
sum,2,102,495,3118,8618,13071,8131,3808,1405,6496
