rate,0.5-1.0Å,1.0-1.5Å,1.5-2.0Å,2.0-2.5Å,2.5-3.0Å,3.0-3.5Å,3.5-4.0Å,4.0-4.5Å,4.5-5.0Å,5.0Å-
0-5%,0,0,2,167,539,811,341,136,63,135
5-10%,0,0,34,81,139,340,154,54,11,98
10-15%,0,0,12,21,28,136,56,27,21,111
15-20%,0,0,10,13,21,39,19,23,19,87
20-40%,0,0,1,4,2,21,27,24,17,67
40-60%,0,0,0,0,0,0,0,0,2,0
60-80%,0,0,0,0,0,0,0,0,0,0
80-100%,0,0,0,0,0,0,0,0,0,0
0-5%,0,0,3.39%,58.39%,73.94%,60.21%,57.12%,51.52%,47.37%,27.11%
5-10%,0,0,57.63%,28.32%,19.07%,25.24%,25.80%,20.45%,8.27%,19.68%
10-15%,0,0,20.34%,7.34%,3.84%,10.10%,9.38%,10.23%,15.79%,22.29%
15-20%,0,0,16.95%,4.55%,2.88%,2.90%,3.18%,8.71%,14.29%,17.47%
20-40%,0,0,1.69%,1.40%,0.27%,1.56%,4.52%,9.09%,12.78%,13.45%
40-60%,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.50%,0.00%
60-80%,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
80-100%,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
sum,0,0,59,286,729,1347,597,264,133,498
