rate,0.5-1.0Å,1.0-1.5Å,1.5-2.0Å,2.0-2.5Å,2.5-3.0Å,3.0-3.5Å,3.5-4.0Å,4.0-4.5Å,4.5-5.0Å,5.0Å-
0-5%,0,0,156,1237,5070,8471,5054,2324,715,1393
5-10%,0,24,374,629,2251,4344,3006,1105,378,592
10-15%,0,3,22,120,814,2343,1766,907,262,440
15-20%,0,0,2,29,250,900,974,496,273,249
20-40%,0,0,0,3,150,400,779,519,164,340
40-60%,0,0,0,0,0,1,6,2,11,12
60-80%,0,0,0,0,0,0,0,0,0,1
80-100%,0,0,0,0,0,0,0,0,0,0
0-5%,0,0.00%,28.16%,61.30%,59.40%,51.47%,43.63%,43.41%,39.66%,46.02%
5-10%,0,88.89%,67.51%,31.17%,26.37%,26.39%,25.95%,20.64%,20.97%,19.56%
10-15%,0,11.11%,3.97%,5.95%,9.54%,14.24%,15.24%,16.94%,14.53%,14.54%
15-20%,0,0.00%,0.36%,1.44%,2.93%,5.47%,8.41%,9.27%,15.14%,8.23%
20-40%,0,0.00%,0.00%,0.15%,1.76%,2.43%,6.72%,9.70%,9.10%,11.23%
40-60%,0,0.00%,0.00%,0.00%,0.00%,0.01%,0.05%,0.04%,0.61%,0.40%
60-80%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%
80-100%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
sum,0,27,554,2018,8535,16459,11585,5353,1803,3027
