rate,0.5-1.0Å,1.0-1.5Å,1.5-2.0Å,2.0-2.5Å,2.5-3.0Å,3.0-3.5Å,3.5-4.0Å,4.0-4.5Å,4.5-5.0Å,5.0Å-
0-5%,0,0,15,68,170,327,253,181,27,124
5-10%,0,2,40,60,227,560,424,167,36,90
10-15%,2,0,23,56,110,377,290,128,68,30
15-20%,0,1,4,29,69,159,120,60,18,9
20-40%,0,0,0,30,44,158,92,71,4,12
40-60%,0,0,0,0,0,4,0,0,1,2
60-80%,0,0,0,0,0,0,0,0,0,0
80-100%,0,0,0,0,0,0,0,0,0,0
0-5%,0.00%,0.00%,18.29%,27.98%,27.42%,20.63%,21.46%,29.82%,17.53%,46.44%
5-10%,0.00%,66.67%,48.78%,24.69%,36.61%,35.33%,35.96%,27.51%,23.38%,33.71%
10-15%,100.00%,0.00%,28.05%,23.05%,17.74%,23.79%,24.60%,21.09%,44.16%,11.24%
15-20%,0.00%,33.33%,4.88%,11.93%,11.13%,10.03%,10.18%,9.88%,11.69%,3.37%
20-40%,0.00%,0.00%,0.00%,12.35%,7.10%,9.97%,7.80%,11.70%,2.60%,4.49%
40-60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.25%,0.00%,0.00%,0.65%,0.75%
60-80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
80-100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
sum,2,3,82,243,620,1585,1179,607,154,267
