rate,0.5-1.0Å,1.0-1.5Å,1.5-2.0Å,2.0-2.5Å,2.5-3.0Å,3.0-3.5Å,3.5-4.0Å,4.0-4.5Å,4.5-5.0Å,5.0Å-
0-5%,2,631,10809,17234,14842,7033,2349,487,127,482
5-10%,11,74,445,436,352,175,103,34,20,40
10-15%,1,68,158,229,173,79,123,24,0,18
15-20%,0,5,29,79,47,36,42,9,2,3
20-40%,1,1,5,37,42,44,36,1,2,2
40-60%,0,0,0,5,8,4,1,0,0,0
60-80%,0,1,1,0,0,0,0,0,0,0
80-100%,0,0,0,0,0,0,0,0,0,0
0-5%,13.33%,80.90%,94.43%,95.64%,95.98%,95.41%,88.51%,87.75%,84.11%,88.44%
5-10%,73.33%,9.49%,3.89%,2.42%,2.28%,2.37%,3.88%,6.13%,13.25%,7.34%
10-15%,6.67%,8.72%,1.38%,1.27%,1.12%,1.07%,4.63%,4.32%,0.00%,3.30%
15-20%,0.00%,0.64%,0.25%,0.44%,0.30%,0.49%,1.58%,1.62%,1.32%,0.55%
20-40%,6.67%,0.13%,0.04%,0.21%,0.27%,0.60%,1.36%,0.18%,1.32%,0.37%
40-60%,0.00%,0.00%,0.00%,0.03%,0.05%,0.05%,0.04%,0.00%,0.00%,0.00%
60-80%,0.00%,0.13%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
80-100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
sum,15,780,11447,18020,15464,7371,2654,555,151,545
