rate,0.5-1.0Å,1.0-1.5Å,1.5-2.0Å,2.0-2.5Å,2.5-3.0Å,3.0-3.5Å,3.5-4.0Å,4.0-4.5Å,4.5-5.0Å,5.0Å-
0-5%,18,1255,7242,14834,16209,12102,4955,1043,304,819
5-10%,250,6449,25449,25950,17276,9091,4045,618,135,442
10-15%,211,3741,12235,10468,8396,5273,1652,275,73,172
15-20%,21,348,1093,1338,2383,2965,790,89,23,83
20-40%,0,11,218,167,880,2134,636,77,18,63
40-60%,0,0,0,0,6,155,48,0,0,0
60-80%,0,0,0,0,0,6,4,0,0,0
80-100%,0,0,0,0,0,0,0,0,0,0
0-5%,3.60%,10.63%,15.66%,28.12%,35.90%,38.15%,40.85%,49.62%,54.97%,51.87%
5-10%,50.00%,54.63%,55.04%,49.19%,38.26%,28.65%,33.35%,29.40%,24.41%,27.99%
10-15%,42.20%,31.69%,26.46%,19.84%,18.60%,16.62%,13.62%,13.08%,13.20%,10.89%
15-20%,4.20%,2.95%,2.36%,2.54%,5.28%,9.35%,6.51%,4.23%,4.16%,5.26%
20-40%,0.00%,0.09%,0.47%,0.32%,1.95%,6.73%,5.24%,3.66%,3.25%,3.99%
40-60%,0.00%,0.00%,0.00%,0.00%,0.01%,0.49%,0.40%,0.00%,0.00%,0.00%
60-80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.03%,0.00%,0.00%,0.00%
80-100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
sum,500,11804,46237,52757,45150,31726,12130,2102,553,1579
