rate,0.5-1.0Å,1.0-1.5Å,1.5-2.0Å,2.0-2.5Å,2.5-3.0Å,3.0-3.5Å,3.5-4.0Å,4.0-4.5Å,4.5-5.0Å,5.0Å-
0-5%,23,1012,6011,6791,7132,2883,871,234,46,170
5-10%,123,4452,20713,19604,14904,4261,771,185,62,175
10-15%,133,5012,19820,19188,10800,3023,617,101,55,120
15-20%,31,1362,5564,7020,4533,1576,411,77,31,20
20-40%,0,95,894,2143,1923,1082,321,80,27,9
40-60%,0,0,0,3,19,33,22,4,0,0
60-80%,0,0,0,0,0,1,0,0,0,0
80-100%,0,0,0,0,0,0,0,0,0,0
0-5%,7.42%,8.48%,11.34%,12.40%,18.14%,22.42%,28.91%,34.36%,20.81%,34.41%
5-10%,39.68%,37.31%,39.08%,35.81%,37.91%,33.14%,25.59%,27.17%,28.05%,35.43%
10-15%,42.90%,42.00%,37.39%,35.05%,27.47%,23.51%,20.48%,14.83%,24.89%,24.29%
15-20%,10.00%,11.41%,10.50%,12.82%,11.53%,12.26%,13.64%,11.31%,14.03%,4.05%
20-40%,0.00%,0.80%,1.69%,3.91%,4.89%,8.41%,10.65%,11.75%,12.22%,1.82%
40-60%,0.00%,0.00%,0.00%,0.01%,0.05%,0.26%,0.73%,0.59%,0.00%,0.00%
60-80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%
80-100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
sum,310,11933,53002,54749,39311,12859,3013,681,221,494
