rate,0.5-1.0Å,1.0-1.5Å,1.5-2.0Å,2.0-2.5Å,2.5-3.0Å,3.0-3.5Å,3.5-4.0Å,4.0-4.5Å,4.5-5.0Å,5.0Å-
0-5%,9,108,270,288,53,14,4,0,0,0
5-10%,84,591,613,162,31,1,8,0,0,0
10-15%,98,514,216,36,15,4,9,0,0,0
15-20%,16,71,31,7,1,0,24,0,0,0
20-40%,3,4,4,8,5,0,2,0,0,0
40-60%,0,0,0,0,0,0,0,0,0,0
60-80%,0,0,1,0,0,0,0,0,0,0
80-100%,0,0,0,0,0,0,0,0,0,0
0-5%,4.29%,8.39%,23.79%,57.49%,50.48%,73.68%,8.51%,0,0,0
5-10%,40.00%,45.89%,54.01%,32.34%,29.52%,5.26%,17.02%,0,0,0
10-15%,46.67%,39.91%,19.03%,7.19%,14.29%,21.05%,19.15%,0,0,0
15-20%,7.62%,5.51%,2.73%,1.40%,0.95%,0.00%,51.06%,0,0,0
20-40%,1.43%,0.31%,0.35%,1.60%,4.76%,0.00%,4.26%,0,0,0
40-60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0
60-80%,0.00%,0.00%,0.09%,0.00%,0.00%,0.00%,0.00%,0,0,0
80-100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0
sum,210,1288,1135,501,105,19,47,0,0,0
