rate,0.5-1.0Å,1.0-1.5Å,1.5-2.0Å,2.0-2.5Å,2.5-3.0Å,3.0-3.5Å,3.5-4.0Å,4.0-4.5Å,4.5-5.0Å,5.0Å-
0-5%,0,155,2310,4506,2969,1208,176,42,17,14
5-10%,0,39,232,406,394,62,12,2,0,0
10-15%,0,35,103,223,121,34,1,1,0,1
15-20%,0,3,19,53,54,18,0,0,0,0
20-40%,0,1,9,42,37,15,1,0,1,0
40-60%,0,0,0,0,6,0,0,0,0,0
60-80%,0,0,0,0,0,0,0,0,0,0
80-100%,0,0,0,0,0,0,0,0,0,0
0-5%,0,66.52%,86.42%,86.16%,82.91%,90.35%,92.63%,93.33%,94.44%,93.33%
5-10%,0,16.74%,8.68%,7.76%,11.00%,4.64%,6.32%,4.44%,0.00%,0.00%
10-15%,0,15.02%,3.85%,4.26%,3.38%,2.54%,0.53%,2.22%,0.00%,6.67%
15-20%,0,1.29%,0.71%,1.01%,1.51%,1.35%,0.00%,0.00%,0.00%,0.00%
20-40%,0,0.43%,0.34%,0.80%,1.03%,1.12%,0.53%,0.00%,5.56%,0.00%
40-60%,0,0.00%,0.00%,0.00%,0.17%,0.00%,0.00%,0.00%,0.00%,0.00%
60-80%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
80-100%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
sum,0,233,2673,5230,3581,1337,190,45,18,15
