PDB,CHAIN,SP_PRIMARY
10ad,A,Q12791
10ad,C,Q12791
10ad,D,Q12791
10ad,E,Q12791
10dc,A,P01112
10gs,A,P09211
10gs,B,P09211
10xu,A,P37840
10xu,B,P37840
10xu,C,P37840
10xu,D,P37840
10xu,E,P37840
10xu,U,P37840
10xu,W,P37840
10xu,X,P37840
10xu,Y,P37840
10xu,Z,P37840
11gs,A,P09211
11gs,B,P09211
121p,A,P01112
12ca,A,P00918
12gs,A,P09211
12gs,B,P09211
133l,A,P61626
134l,A,P61626
13gs,A,P09211
13gs,B,P09211
13rz,A,Q8WY64
13rz,B,Q8WY64
13rz,C,Q8WY64
13rz,D,Q8WY64
13sa,A,Q8WY64
13sa,B,Q8WY64
13sa,C,Q8WY64
13sa,D,Q8WY64
13sb,A,Q8WY64
13sb,B,Q8WY64
13sb,C,Q8WY64
13sb,D,Q8WY64
13sc,A,Q8WY64
13sc,B,Q8WY64
13sc,C,Q8WY64
13sc,D,Q8WY64
13sd,A,Q8WY64
13sd,B,Q8WY64
13sd,C,Q8WY64
13sd,D,Q8WY64
13se,A,Q8WY64
13se,B,Q8WY64
13se,C,Q8WY64
13se,D,Q8WY64
13sf,A,Q8WY64
13sf,B,Q8WY64
13sf,C,Q8WY64
13sf,D,Q8WY64
13sg,A,Q8WY64
13sg,B,Q8WY64
13sg,C,Q8WY64
13sg,D,Q8WY64
13sh,A,Q8WY64
13sh,B,Q8WY64
13sh,C,Q8WY64
13sh,D,Q8WY64
13si,A,Q8WY64
13si,B,Q8WY64
13si,C,Q8WY64
13si,D,Q8WY64
13sj,A,Q8WY64
13sj,B,Q8WY64
13sj,C,Q8WY64
13sj,D,Q8WY64
13sk,A,Q8WY64
13sk,B,Q8WY64
13sk,C,Q8WY64
13sk,D,Q8WY64
13sl,A,Q8WY64
13sl,B,Q8WY64
13sl,C,Q8WY64
13sl,D,Q8WY64
13sm,A,Q8WY64
13sm,B,Q8WY64
13sm,C,Q8WY64
13sm,D,Q8WY64
13sn,A,Q8WY64
13sn,B,Q8WY64
13sn,C,Q8WY64
13sn,D,Q8WY64
13so,A,Q8WY64
13so,B,Q8WY64
13so,C,Q8WY64
13so,D,Q8WY64
13sp,A,Q8WY64
13sp,B,Q8WY64
13sp,C,Q8WY64
13sp,D,Q8WY64
13sq,A,Q8WY64
13sq,B,Q8WY64
13sq,C,Q8WY64
13sq,D,Q8WY64
13sr,A,Q8WY64
13sr,B,Q8WY64
13sr,C,Q8WY64
13sr,D,Q8WY64
13ss,A,Q8WY64
13ss,B,Q8WY64
13ss,C,Q8WY64
13ss,D,Q8WY64
13st,A,Q8WY64
13st,B,Q8WY64
13st,C,Q8WY64
13st,D,Q8WY64
13su,A,Q8WY64
13su,B,Q8WY64
13su,C,Q8WY64
13su,D,Q8WY64
13sv,A,Q8WY64
13sv,B,Q8WY64
13sv,C,Q8WY64
13sv,D,Q8WY64
13sw,A,Q8WY64
13sw,B,Q8WY64
13sw,C,Q8WY64
13sw,D,Q8WY64
13sx,A,Q8WY64
13sx,B,Q8WY64
13sx,C,Q8WY64
13sx,D,Q8WY64
13sy,A,Q8WY64
13sy,B,Q8WY64
13sy,C,Q8WY64
13sy,D,Q8WY64
13sz,A,Q8WY64
13sz,B,Q8WY64
13sz,C,Q8WY64
13sz,D,Q8WY64
13ta,A,Q8WY64
13ta,B,Q8WY64
13ta,C,Q8WY64
13ta,D,Q8WY64
13tb,A,Q8WY64
13tb,B,Q8WY64
13tb,C,Q8WY64
13tb,D,Q8WY64
14gs,A,P09211
14gs,B,P09211
16gs,A,P09211
16gs,B,P09211
17gs,A,P09211
17gs,B,P09211
18gs,A,P09211
18gs,B,P09211
19gs,A,P09211
19gs,B,P09211
1a00,A,P69905
1a00,B,P68871
1a00,C,P69905
1a00,D,P68871
1a01,A,P69905
1a01,B,P68871
1a01,C,P69905
1a01,D,P68871
1a02,F,P01100
1a02,J,P05412
1a02,N,Q13469
1a07,A,P12931
1a07,B,P12931
1a08,A,P12931
1a08,B,P12931
1a09,A,P12931
1a09,B,P12931
1a0l,A,P20231
1a0l,B,P20231
1a0l,C,P20231
1a0l,D,P20231
1a0n,A,P27986
1a0n,B,P06241
1a0u,A,P69905
1a0u,B,P68871
1a0u,C,P69905
1a0u,D,P68871
1a0z,A,P69905
1a0z,B,P68871
1a0z,C,P69905
1a0z,D,P68871
1a12,A,P18754
1a12,B,P18754
1a12,C,P18754
1a15,A,P48061
1a15,B,P48061
1a17,A,P53041
1a1a,A,P12931
1a1a,B,P12931
1a1b,A,P12931
1a1b,B,P12931
1a1c,A,P12931
1a1c,B,P12931
1a1e,A,P12931
1a1e,B,P12931
1a1m,A,P01889
1a1m,B,P61769
1a1n,A,P01889
1a1n,B,P61769
1a1o,A,P01889
1a1o,B,P61769
1a1u,A,P04637
1a1u,C,P04637
1a1w,A,Q13158
1a1x,A,P56278
1a1z,A,Q13158
1a22,A,P01241
1a22,B,P10912
1a27,A,P14061
1a28,A,P06401
1a28,B,P06401
1a2b,A,P61586
1a2c,H,P00734
1a2c,L,P00734
1a31,A,P11387
1a35,A,P11387
1a36,A,P11387
